event_id,event_date,event_time,aircraft_registration,operator,event_type,event_classification,event_location,inspection_location,consequences,description
787,27/04/2028,20:15,RA-31313,Россия,Посторонний предмет,Аэродромно-производственное событие,Перрон 8,Шереметьево,Нет,Обнаружен инструмент
788,2028-04-29,10:35,VQ-BPE,РОССИЯ ,Нарушение процедуры,АПС,Перрон 4,Домодедово,Минимальные,Нарушение контроля
789,29.04.2028,16.25,RA-32323,Aeroflot,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Повреждение конструкции
790,2028-05-01,21:45,VQ-BPF,Аэрофлoт,Отклонение от регламента,АПС,РД-2,Шереметьево,Минимальные,Выявлено несоответствие
791,2028-05-03,08:20,RA-33333,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Обнаружен объект
792,03.05.2028,15:00,VQ-BPG,S7,Нарушение процедуры,АПС,Стоянка 8,Шереметьево,Незначительные,Нарушение порядка
793,2028/05/05,19:30,RA-34343,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 9,Внуково,Нет,Выявлено повреждение
794,2028-05-07,07:15,VQ-BPH,победа,Отклонение от регламента,АПС,Перрон 2,Внуково,Минимальные,Несоответствие процедуре
795,07.05.2028,13:45,RA-35353,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Обнаружен предмет
796,2028-05-10,18:35,VQ-BPI,Уральские авиалинии ,Нарушение процедуры,АПС,Перрон 11,Шереметьево,Незначительные,Нарушение регламента
797,2028-05-12,22:20,RA-36363,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Повреждение обшивки
798,12.05.2028,0640,VQ-BPJ,АЭРОФЛОТ,Посторонний предмет,АПС,Перрон 4,Шереметьево,Нет,Обнаружен объект
799,2028-05-15,11:25,RA-37373,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Домодедово,Минимальные,Нарушение проверки
800,2028-05-17,17:40,VQ-BPK,C7,Повреждение ВС,АПС,Перрон 3,Внуково,Нет,Повреждение элемента
801,2028-05-19,09:10,RA-38383,Аэрофлот,Отклонение от регламента,Аэродромно-производственное событие,Перрон 7,Шереметьево,Минимальные,Выявлено нарушение
802,19.05.2028,14:45,VQ-BPL,аэрофлот ,Посторонний предмет,АПС,Стоянка 10,Шереметьево,Нет,Обнаружен объект
803,2028/05/22,18:20,RA-39393,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,РД-4,Домодедово,Незначительные,Нарушение порядка
804,2028-05-24,23:05,VQ-BPM,S7 airlines,Повреждение ВС,АПС,Перрон 6,Шереметьево,Нет,Повреждение после обслуживания
805,24.05.2028,06:25,RA-40404,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Обнаружен инструмент
806,2028-05-27,12:40,VQ-BPN,Победаа,Нарушение процедуры,АПС,Стоянка 5,Внуково,Незначительные,Нарушение регламента
807,27/05/2028,20:15,RA-41414,Россия,Повреждение ВС,Аэродромно-производственное событие,Перрон 8,Шереметьево,Нет,Выявлено повреждение
808,2028-05-29,10:35,VQ-BPO,РОССИЯ ,Отклонение от регламента,АПС,Перрон 4,Домодедово,Минимальные,Несоответствие
809,29.05.2028,16.25,RA-42424,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Шереметьево,Незначительные,Нарушение порядка
810,2028-06-01,21:45,VQ-BPP,Аэрофлoт,Повреждение ВС,АПС,РД-2,Шереметьево,Нет,Повреждение конструкции
811,2028-06-03,08:20,RA-43434,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Обнаружен объект
812,03.06.2028,15:00,VQ-BPQ,S7,Нарушение процедуры,АПС,Стоянка 8,Шереметьево,Минимальные,Нарушение контроля
813,2028/06/05,19:30,RA-44444,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 9,Внуково,Нет,Повреждение панели
814,2028-06-07,07:15,VQ-BPR,победа,Отклонение от регламента,АПС,Перрон 2,Внуково,Минимальные,Выявлено отклонение
815,07.06.2028,13:45,RA-45454,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Обнаружен предмет
816,2028-06-10,18:35,VQ-BPS,Уральские авиалинии ,Нарушение процедуры,АПС,Перрон 11,Шереметьево,Незначительные,Нарушение требований
817,2028-06-12,22:20,RA-46464,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Повреждение корпуса
818,12.06.2028,0640,VQ-BPT,АЭРОФЛОТ,Отклонение от регламента,АПС,Перрон 4,Шереметьево,Минимальные,Несоответствие
819,2028-06-15,11:25,RA-47474,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Обнаружен объект
820,2028-06-17,17:40,VQ-BPU,C7,Нарушение процедуры,АПС,Перрон 3,Внуково,Незначительные,Нарушение инструкции
821,2028-06-19,09:10,RA-48484,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Повреждение элемента
822,19.06.2028,14:45,VQ-BPV,аэрофлот ,Посторонний предмет,АПС,Стоянка 10,Шереметьево,Нет,Обнаружен объект
823,2028/06/22,18:20,RA-49494,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,РД-4,Домодедово,Минимальные,Нарушение порядка
824,2028-06-24,23:05,VQ-BPW,S7 airlines,Повреждение ВС,АПС,Перрон 6,Шереметьево,Нет,Выявлено повреждение
825,24.06.2028,06:25,RA-50505,Победа,Отклонение от регламента,Аэродромно-производственное событие,Перрон 1,Внуково,Минимальные,Несоответствие требованиям
826,2028-06-27,12:40,VQ-BPX,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен инструмент
827,27/06/2028,20:15,RA-51515,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Незначительные,Нарушение контроля
828,2028-06-29,10:35,VQ-BPY,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Повреждение конструкции
829,29.06.2028,16.25,RA-52525,Aeroflot,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружен объект
830,2028-07-01,21:45,VQ-BPZ,Аэрофлoт,Нарушение процедуры,АПС,РД-2,Шереметьево,Минимальные,Нарушение порядка
831,2028-07-03,08:20,RA-53535,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Повреждение элемента конструкции
832,03.07.2028,15:00,VQ-BQA,S7,Посторонний предмет,АПС,Стоянка 8,Шереметьево,Нет,Обнаружен объект возле ВС
833,2028/07/05,19:30,RA-54545,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 9,Внуково,Незначительные,Нарушение требований
834,2028-07-07,07:15,VQ-BQB,победа,Отклонение от регламента,АПС,Перрон 2,Внуково,Минимальные,Выявлено отклонение
835,07.07.2028,13:45,RA-55555,Уральские авиалинии,Повреждение ВС,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Повреждение корпуса
836,2028-07-10,18:35,VQ-BQC,Уральские авиалинии ,Посторонний предмет,АПС,Перрон 11,Шереметьево,Нет,Обнаружен инструмент
837,2028-07-12,22:20,RA-56565,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Минимальные,Нарушение процедуры
838,12.07.2028,0640,VQ-BQD,АЭРОФЛОТ,Повреждение ВС,АПС,Перрон 4,Шереметьево,Нет,Выявлено повреждение
839,2028-07-15,11:25,RA-57575,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,Перрон 10,Домодедово,Минимальные,Несоответствие требованиям
840,2028-07-17,17:40,VQ-BQE,C7,Посторонний предмет,АПС,Перрон 3,Внуково,Нет,Обнаружен объект
841,2028-07-19,09:10,RA-58585,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 7,Шереметьево,Незначительные,Нарушение контроля
842,19.07.2028,14:45,VQ-BQF,аэрофлот ,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Повреждение после обслуживания
843,2028/07/22,18:20,RA-59595,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Обнаружен предмет
844,2028-07-24,23:05,VQ-BQG,S7 airlines,Нарушение процедуры,АПС,Перрон 6,Шереметьево,Минимальные,Нарушение регламента
845,24.07.2028,06:25,RA-60606,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение панели
846,2028-07-27,12:40,VQ-BQH,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен объект
847,27/07/2028,20:15,RA-61616,Россия,Отклонение от регламента,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Выявлено отклонение
848,2028-07-29,10:35,VQ-BQI,РОССИЯ ,Нарушение процедуры,АПС,Перрон 4,Домодедово,Незначительные,Нарушение порядка
849,29.07.2028,16.25,RA-62626,Aeroflot,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Выявлено повреждение
850,2028-08-01,21:45,VQ-BQJ,Аэрофлoт,Посторонний предмет,АПС,РД-2,Шереметьево,Нет,Обнаружен объект
851,2028-08-03,08:20,RA-63636,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 5,Домодедово,Минимальные,Нарушение требований
852,03.08.2028,15:00,VQ-BQK,S7,Повреждение ВС,АПС,Стоянка 8,Шереметьево,Нет,Повреждение элемента
853,2028/08/05,19:30,RA-64646,Победа,Отклонение от регламента,Аэродромно-производственное событие,Перрон 9,Внуково,Минимальные,Несоответствие
854,2028-08-07,07:15,VQ-BQL,победа,Посторонний предмет,АПС,Перрон 2,Внуково,Нет,Обнаружен инструмент
855,07.08.2028,13:45,RA-65656,Уральские авиалинии,Нарушение процедуры,Аэродромно-производственное событие,РД-3,Домодедово,Незначительные,Нарушение инструкции
856,2028-08-10,18:35,VQ-BQM,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 11,Шереметьево,Нет,Повреждение корпуса
857,2028-08-12,22:20,RA-66666,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Обнаружен объект
858,12.08.2028,0640,VQ-BQN,АЭРОФЛОТ,Отклонение от регламента,АПС,Перрон 4,Шереметьево,Минимальные,Выявлено нарушение
859,2028-08-15,11:25,RA-67676,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Домодедово,Незначительные,Нарушение порядка
860,2028-08-17,17:40,VQ-BQO,C7,Повреждение ВС,АПС,Перрон 3,Внуково,Нет,Повреждение конструкции
861,2028-08-19,09:10,RA-68686,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Обнаружен предмет
862,19.08.2028,14:45,VQ-BQP,аэрофлот ,Нарушение процедуры,АПС,Стоянка 10,Шереметьево,Минимальные,Нарушение контроля
863,2028/08/22,18:20,RA-69696,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Выявлено повреждение
864,2028-08-24,23:05,VQ-BQQ,S7 airlines,Отклонение от регламента,АПС,Перрон 6,Шереметьево,Минимальные,Несоответствие
865,24.08.2028,06:25,RA-70707,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Обнаружен объект
866,2028-08-27,12:40,VQ-BQR,Победаа,Нарушение процедуры,АПС,Стоянка 5,Внуково,Незначительные,Нарушение инструкции
867,27/08/2028,20:15,RA-71717,Россия,Повреждение ВС,Аэродромно-производственное событие,Перрон 8,Шереметьево,Нет,Повреждение конструкции
868,2028-08-29,10:35,VQ-BQS,РОССИЯ ,Посторонний предмет,АПС,Перрон 4,Домодедово,Нет,Обнаружен предмет
869,29.08.2028,16.25,RA-72727,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Шереметьево,Минимальные,Нарушение порядка
870,2028-09-01,21:45,VQ-BQT,Аэрофлoт,Повреждение ВС,АПС,РД-2,Шереметьево,Нет,Повреждение элемента
871,2028-09-03,08:20,RA-73737,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,Перрон 5,Домодедово,Минимальные,Выявлено отклонение
872,03.09.2028,15:00,VQ-BQU,S7,Посторонний предмет,АПС,Стоянка 8,Шереметьево,Нет,Обнаружен объект
873,2028/09/05,19:30,RA-74747,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 9,Внуково,Незначительные,Нарушение требований
874,2028-09-07,07:15,VQ-BQV,победа,Повреждение ВС,АПС,Перрон 2,Внуково,Нет,Повреждение корпуса
875,07.09.2028,13:45,RA-75757,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Обнаружен инструмент
876,2028-09-10,18:35,VQ-BQW,Уральские авиалинии ,Нарушение процедуры,АПС,Перрон 11,Шереметьево,Незначительные,Нарушение порядка
877,2028-09-12,22:20,RA-76767,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Выявлено повреждение
878,12.09.2028,0640,VQ-BQX,АЭРОФЛОТ,Отклонение от регламента,АПС,Перрон 4,Шереметьево,Минимальные,Несоответствие
879,2028-09-15,11:25,RA-77777,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Обнаружен объект
880,2028-09-17,17:40,VQ-BQY,C7,Нарушение процедуры,АПС,Перрон 3,Внуково,Незначительные,Нарушение контроля
881,2028-09-19,09:10,RA-78787,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Повреждение элемента конструкции
882,19.09.2028,14:45,VQ-BQZ,аэрофлот ,Посторонний предмет,АПС,Стоянка 10,Шереметьево,Нет,Обнаружен объект
883,2028/09/22,18:20,RA-79797,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,РД-4,Домодедово,Минимальные,Нарушение порядка
884,2028-09-24,23:05,VQ-BRA,S7 airlines,Отклонение от регламента,АПС,Перрон 6,Шереметьево,Минимальные,Несоответствие требованиям
885,24.09.2028,06:25,RA-80808,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение панели
886,2028-09-27,12:40,VQ-BRB,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен инструмент
887,27/09/2028,20:15,RA-81818,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Незначительные,Нарушение контроля
888,2028-09-29,10:35,VQ-BRC,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Выявлено повреждение
889,29.09.2028,16.25,RA-82828,Aeroflot,Отклонение от регламента,Аэродромно-производственное событие,Перрон 10,Шереметьево,Минимальные,Выявлено несоответствие
890,2028-10-01,21:45,VQ-BRD,Аэрофлoт,Посторонний предмет,АПС,РД-2,Шереметьево,Нет,Обнаружен объект
891,2028-10-03,08:20,RA-83838,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 5,Домодедово,Минимальные,Нарушение регламента
892,03.10.2028,15:00,VQ-BRE,S7,Повреждение ВС,АПС,Стоянка 8,Шереметьево,Нет,Повреждение корпуса
893,2028/10/05,19:30,RA-84848,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 9,Внуково,Нет,Обнаружен предмет
894,2028-10-07,07:15,VQ-BRF,победа,Отклонение от регламента,АПС,Перрон 2,Внуково,Минимальные,Несоответствие процедуре
895,07.10.2028,13:45,RA-85858,Уральские авиалинии,Нарушение процедуры,Аэродромно-производственное событие,РД-3,Домодедово,Незначительные,Нарушение порядка
896,2028-10-10,18:35,VQ-BRG,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 11,Шереметьево,Нет,Выявлено повреждение
897,2028-10-12,22:20,RA-86868,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Обнаружен объект
898,12.10.2028,0640,VQ-BRH,АЭРОФЛОТ,Нарушение процедуры,АПС,Перрон 4,Шереметьево,Незначительные,Нарушение проверки
899,2028-10-15,11:25,RA-87878,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Повреждение конструкции
900,2028-10-17,17:40,VQ-BRI,C7,Отклонение от регламента,АПС,Перрон 3,Внуково,Минимальные,Выявлено отклонение
901,2028-10-19,09:10,RA-88888,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Обнаружен объект
902,19.10.2028,14:45,VQ-BRJ,аэрофлот ,Нарушение процедуры,АПС,Стоянка 10,Шереметьево,Минимальные,Нарушение порядка
903,2028/10/22,18:20,RA-89898,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Повреждение после работ
904,2028-10-24,23:05,VQ-BRK,S7 airlines,Посторонний предмет,АПС,Перрон 6,Шереметьево,Нет,Обнаружен инструмент
905,24.10.2028,06:25,RA-90909,Победа,Отклонение от регламента,Аэродромно-производственное событие,Перрон 1,Внуково,Минимальные,Несоответствие
906,2028-10-27,12:40,VQ-BRL,Победаа,Нарушение процедуры,АПС,Стоянка 5,Внуково,Незначительные,Нарушение инструкции
907,27/10/2028,20:15,RA-91919,Россия,Повреждение ВС,Аэродромно-производственное событие,Перрон 8,Шереметьево,Нет,Выявлено повреждение
908,2028-10-29,10:35,VQ-BRM,РОССИЯ ,Посторонний предмет,АПС,Перрон 4,Домодедово,Нет,Обнаружен объект
909,29.10.2028,16.25,RA-92929,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Шереметьево,Незначительные,Нарушение контроля
910,2028-11-01,21:45,VQ-BRN,Аэрофлoт,Повреждение ВС,АПС,РД-2,Шереметьево,Нет,Повреждение корпуса
911,2028-11-03,08:20,RA-93939,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,Перрон 5,Домодедово,Минимальные,Несоответствие
912,03.11.2028,15:00,VQ-BRO,S7,Посторонний предмет,АПС,Стоянка 8,Шереметьево,Нет,Обнаружен объект
913,2028/11/05,19:30,RA-94949,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 9,Внуково,Незначительные,Нарушение порядка
914,2028-11-07,07:15,VQ-BRP,победа,Повреждение ВС,АПС,Перрон 2,Внуково,Нет,Повреждение элемента
915,07.11.2028,13:45,RA-95959,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Обнаружен предмет
916,2028-11-10,18:35,VQ-BRQ,Уральские авиалинии ,Нарушение процедуры,АПС,Перрон 11,Шереметьево,Минимальные,Нарушение требований
917,2028-11-12,22:20,RA-96969,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Повреждение конструкции
918,12.11.2028,0640,VQ-BRR,АЭРОФЛОТ,Отклонение от регламента,АПС,Перрон 4,Шереметьево,Минимальные,Выявлено отклонение
919,2028-11-15,11:25,RA-97979,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Обнаружен объект
920,2028-11-17,17:40,VQ-BRS,C7,Нарушение процедуры,АПС,Перрон 3,Внуково,Незначительные,Нарушение контроля
921,2028-11-19,09:10,RA-98989,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Выявлено повреждение
922,19.11.2028,14:45,VQ-BRT,аэрофлот ,Посторонний предмет,АПС,Стоянка 10,Шереметьево,Нет,Обнаружен объект
923,2028/11/22,18:20,RA-99999,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,РД-4,Домодедово,Минимальные,Нарушение регламента
924,2028-11-24,23:05,VQ-BRU,S7 airlines,Повреждение ВС,АПС,Перрон 6,Шереметьево,Нет,Повреждение элемента
925,24.11.2028,06:25,RA-10101,Победа,Отклонение от регламента,Аэродромно-производственное событие,Перрон 1,Внуково,Минимальные,Несоответствие
926,2028-11-27,12:40,VQ-BRV,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен объект
927,27/11/2028,20:15,RA-11111,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Незначительные,Нарушение порядка
928,2028-11-29,10:35,VQ-BRW,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Выявлено повреждение
929,29.11.2028,16.25,RA-12121,Aeroflot,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружен предмет
930,2028-12-01,21:45,VQ-BRX,Аэрофлoт,Нарушение процедуры,АПС,РД-2,Шереметьево,Минимальные,Нарушение инструкции
931,2028-12-03,08:20,RA-13131,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Повреждение конструкции
932,03.12.2028,15:00,VQ-BRY,S7,Посторонний предмет,АПС,Стоянка 8,Шереметьево,Нет,Обнаружен объект
933,2028/12/05,19:30,RA-14141,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 9,Внуково,Незначительные,Нарушение требований
934,2028-12-07,07:15,VQ-BRZ,победа,Отклонение от регламента,АПС,Перрон 2,Внуково,Минимальные,Выявлено несоответствие
935,07.12.2028,13:45,RA-15151,Уральские авиалинии,Повреждение ВС,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Повреждение элемента
936,2028-12-10,18:35,VQ-BSA,Уральские авиалинии ,Посторонний предмет,АПС,Перрон 11,Шереметьево,Нет,Обнаружен инструмент
937,2028-12-12,22:20,RA-16161,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Минимальные,Нарушение контроля
938,12.12.2028,0640,VQ-BSB,АЭРОФЛОТ,Повреждение ВС,АПС,Перрон 4,Шереметьево,Нет,Выявлено повреждение
939,2028-12-15,11:25,RA-17171,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Обнаружен объект
940,2028-12-17,17:40,VQ-BSC,C7,Отклонение от регламента,АПС,Перрон 3,Внуково,Минимальные,Несоответствие
941,2028-12-19,09:10,RA-18181,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 7,Шереметьево,Незначительные,Нарушение порядка
942,19.12.2028,14:45,VQ-BSD,аэрофлот ,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Повреждение после обслуживания
943,2028/12/22,18:20,RA-19191,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Обнаружен объект
944,2028-12-24,23:05,VQ-BSE,S7 airlines,Нарушение процедуры,АПС,Перрон 6,Шереметьево,Минимальные,Нарушение регламента
945,24.12.2028,06:25,RA-20202,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение панели
946,2028-12-27,12:40,VQ-BSF,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен инструмент
947,27/12/2028,20:15,RA-21212,Россия,Отклонение от регламента,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Выявлено отклонение
948,2028-12-29,10:35,VQ-BSG,РОССИЯ ,Нарушение процедуры,АПС,Перрон 4,Домодедово,Незначительные,Нарушение порядка
949,29.12.2028,16.25,RA-22222,Aeroflot,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Выявлено повреждение
950,2029-01-01,21:45,VQ-BSH,Аэрофлoт,Посторонний предмет,АПС,РД-2,Шереметьево,Нет,Обнаружен объект
951,2029-01-03,08:20,RA-23232,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 5,Домодедово,Минимальные,Нарушение требований
952,03.01.2029,15:00,VQ-BSI,S7,Повреждение ВС,АПС,Стоянка 8,Шереметьево,Нет,Повреждение элемента
953,2029/01/05,19:30,RA-24242,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 9,Внуково,Нет,Обнаружен объект
954,2029-01-07,07:15,VQ-BSJ,победа,Нарушение процедуры,АПС,Перрон 2,Внуково,Незначительные,Нарушение инструкции
955,07.01.2029,13:45,RA-25252,Уральские авиалинии,Повреждение ВС,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Повреждение корпуса
956,2029-01-10,18:35,VQ-BSK,Уральские авиалинии ,Отклонение от регламента,АПС,Перрон 11,Шереметьево,Минимальные,Несоответствие
957,2029-01-12,22:20,RA-26262,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Обнаружен инструмент
958,12.01.2029,0640,VQ-BSL,АЭРОФЛОТ,Нарушение процедуры,АПС,Перрон 4,Шереметьево,Незначительные,Нарушение порядка
959,2029-01-15,11:25,RA-27272,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Выявлено повреждение
960,2029-01-17,17:40,VQ-BSM,C7,Отклонение от регламента,АПС,Перрон 3,Внуково,Минимальные,Выявлено нарушение
961,2029-01-19,09:10,RA-28282,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Обнаружен объект
962,19.01.2029,14:45,VQ-BSN,аэрофлот ,Нарушение процедуры,АПС,Стоянка 10,Шереметьево,Минимальные,Нарушение контроля
963,2029/01/22,18:20,RA-29292,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Повреждение конструкции
964,2029-01-24,23:05,VQ-BSO,S7 airlines,Посторонний предмет,АПС,Перрон 6,Шереметьево,Нет,Обнаружен предмет
965,24.01.2029,06:25,RA-30303,Победа,Отклонение от регламента,Аэродромно-производственное событие,Перрон 1,Внуково,Минимальные,Несоответствие
966,2029-01-27,12:40,VQ-BSP,Победаа,Нарушение процедуры,АПС,Стоянка 5,Внуково,Незначительные,Нарушение регламента
967,27/01/2029,20:15,RA-31313,Россия,Повреждение ВС,Аэродромно-производственное событие,Перрон 8,Шереметьево,Нет,Повреждение корпуса
968,2029-01-29,10:35,VQ-BSQ,РОССИЯ ,Посторонний предмет,АПС,Перрон 4,Домодедово,Нет,Обнаружен объект
969,29.01.2029,16.25,RA-32323,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Шереметьево,Минимальные,Нарушение порядка
970,2029-02-01,21:45,VQ-BSR,Аэрофлoт,Повреждение ВС,АПС,РД-2,Шереметьево,Нет,Повреждение элемента
971,2029-02-03,08:20,RA-33333,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,Перрон 5,Домодедово,Минимальные,Выявлено отклонение
972,03.02.2029,15:00,VQ-BSS,S7,Посторонний предмет,АПС,Стоянка 8,Шереметьево,Нет,Обнаружен объект
973,2029/02/05,19:30,RA-34343,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 9,Внуково,Незначительные,Нарушение инструкции
974,2029-02-07,07:15,VQ-BST,победа,Повреждение ВС,АПС,Перрон 2,Внуково,Нет,Повреждение корпуса
975,07.02.2029,13:45,RA-35353,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Обнаружен инструмент
976,2029-02-10,18:35,VQ-BSU,Уральские авиалинии ,Нарушение процедуры,АПС,Перрон 11,Шереметьево,Минимальные,Нарушение требований
977,2029-02-12,22:20,RA-36363,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Выявлено повреждение
978,12.02.2029,0640,VQ-BSV,АЭРОФЛОТ,Отклонение от регламента,АПС,Перрон 4,Шереметьево,Минимальные,Несоответствие
